word	file	lines
Audiographer	About.Rmd	36
Audiographer	About.md	36
Audiographer	About.md	36
Audiography	About.Rmd	37
Audiography	About.md	37
Audiography	About.md	37
automagic	README.md	16
bookdown	README.md	34
Bookdown	README.md	13,30
chapt	1-Introduction.md	3
chapt	10-Why-AnVIL.md	3
chapt	11-Instructor-modules.md	3
chapt	11-References.md	3
chapt	12-References.md	3
chapt	2-A-new-chapter.md	3
chapt	3-AnVIL-Module-Library.md	3
chapt	4-Workspaces.md	3
chapt	5-Billing.md	3
chapt	6-Onboarding.md	3
chapt	7-Using-programming-platforms-on-AnVIL.md	3
chapt	8-Student-instructions.md	3
chapt	9-User-Management.md	3
chapt	About-the-Authors.md	3
chapt	About-this-Book.md	3
chapt	Learning-Objectives.md	3
Cliffe	About.Rmd	20,50
Cliffe	About.md	20,107
Cliffe	About.md	20,117
Coursera	README.md	14,30
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
ExampleWorkspace	08-student_modules.md	101
ExampleWorkspace	08-student_modules.md	101
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
Firstname	08-student_modules.md	101,156
Firstname	08-student_modules.md	101,156
FirstName	About.Rmd	14,50
FirstName	About.md	14,107
FirstName	About.md	14,117
Funder	About.Rmd	39
Funder	About.md	39
Funder	About.md	39
Generis	LICENSE.md	85,123,262,264,271
https	code_of_conduct.md	117,123,124
Humphries	About.Rmd	17,50
Humphries	About.md	17,107
Humphries	About.md	17,117
ies	LICENSE.md	112
iframe	1-Introduction.md	3
iframe	10-Why-AnVIL.md	3
iframe	11-Instructor-modules.md	3
iframe	11-References.md	3
iframe	12-References.md	3
iframe	2-A-new-chapter.md	3
iframe	3-AnVIL-Module-Library.md	3
iframe	4-Workspaces.md	3
iframe	5-Billing.md	3
iframe	6-Onboarding.md	3
iframe	7-Using-programming-platforms-on-AnVIL.md	3
iframe	8-Student-instructions.md	3
iframe	9-User-Management.md	3
iframe	About-the-Authors.md	3
iframe	About-this-Book.md	3
iframe	Learning-Objectives.md	3
immunities	LICENSE.md	370
Lastname	08-student_modules.md	101,156
Lastname	08-student_modules.md	101,156
LastName	About.Rmd	14,50
LastName	About.md	14,107
LastName	About.md	14,117
Leanpub	README.md	12,34
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	30,50
Muschelli	About.md	30,107
Muschelli	About.md	30,117
onboarding	6-Onboarding.md	3
ottrproject	README.md	22
png	1-Introduction.md	3
png	10-Why-AnVIL.md	3
png	11-Instructor-modules.md	3
png	11-References.md	3
png	12-References.md	3
png	2-A-new-chapter.md	3
png	3-AnVIL-Module-Library.md	3
png	4-Workspaces.md	3
png	5-Billing.md	3
png	6-Onboarding.md	3
png	7-Using-programming-platforms-on-AnVIL.md	3
png	8-Student-instructions.md	3
png	9-User-Management.md	3
png	About-the-Authors.md	3
png	About-this-Book.md	3
png	Learning-Objectives.md	3
RMarkdown	README.md	11
Savonen	About.Rmd	27,28,29,30,50
Savonen	About.md	27,28,29,30,107
Savonen	About.md	27,28,29,30,117
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
textbox	08-student_modules.md	274,284,434
textbox	08-student_modules.md	274,284,434
Videographer	About.Rmd	34
Videographer	About.md	34
Videographer	About.md	34
Videography	About.Rmd	35
Videography	About.md	35
Videography	About.md	35
wip	02-chapter_of_course.Rmd	170
wip	02-chapter_of_course.md	198
WIPO	LICENSE.md	93
workspaces	4-Workspaces.md	3
